-1.035375, -9.479105, 0.000000, -0.000000, 0.000000, 0.988761, -0.149507
-1.041331, -9.476034, 0.000000, -0.000000, 0.000000, 0.991620, -0.129192
-1.036588, -9.474067, 0.000000, -0.000000, 0.000000, 0.992237, -0.124361
-1.034871, -9.477512, 0.000000, -0.000000, 0.000000, 0.993309, -0.115485
-1.025348, -9.476075, 0.000000, -0.000000, 0.000000, 0.993148, -0.116866
-1.032054, -9.475853, 0.000000, -0.000000, 0.000000, 0.994433, -0.105367
-1.023642, -9.472802, 0.000000, -0.000000, 0.000000, 0.993043, -0.117756
-1.050583, -9.475375, 0.000000, -0.000000, 0.000000, 0.988961, -0.148174
-1.046800, -9.481352, 0.000000, -0.000000, 0.000000, 0.986504, -0.163738
-1.040792, -9.485485, 0.000000, -0.000000, 0.000000, 0.985852, -0.167617
-1.041300, -9.481126, 0.000000, -0.000000, 0.000000, 0.989657, -0.143455
-1.061166, -9.482687, 0.000000, -0.000000, 0.000000, 0.988599, -0.150573
-1.047774, -9.482927, 0.000000, -0.000000, 0.000000, 0.988693, -0.149955
-1.034342, -9.490601, 0.000000, -0.000000, 0.000000, 0.986176, -0.165699
-1.028347, -9.493895, 0.000000, -0.000000, 0.000000, 0.983932, -0.178542
-1.025961, -9.491849, 0.000000, -0.000000, 0.000000, 0.985896, -0.167360
-1.031961, -9.492450, 0.000000, -0.000000, 0.000000, 0.987071, -0.160281
-1.019159, -9.499172, 0.000000, -0.000000, 0.000000, 0.984691, -0.174306
-1.020118, -9.496271, 0.000000, -0.000000, 0.000000, 0.985535, -0.169470
-1.020845, -9.494681, 0.000000, -0.000000, 0.000000, 0.987382, -0.158357
-1.039515, -9.490892, 0.000000, -0.000000, 0.000000, 0.987434, -0.158031
-1.030595, -9.495314, 0.000000, -0.000000, 0.000000, 0.985063, -0.172196
-1.021319, -9.499889, 0.000000, -0.000000, 0.000000, 0.982879, -0.184254
-1.018355, -9.501449, 0.000000, -0.000000, 0.000000, 0.986476, -0.163908
-1.017950, -9.499976, 0.000000, -0.000000, 0.000000, 0.987845, -0.155441
-1.008692, -9.505922, 0.000000, -0.000000, 0.000000, 0.985581, -0.169204
-1.003602, -9.505701, 0.000000, -0.000000, 0.000000, 0.984931, -0.172946
-1.005634, -9.504156, 0.000000, -0.000000, 0.000000, 0.986994, -0.160755
-1.001002, -9.506477, 0.000000, -0.000000, 0.000000, 0.985164, -0.171614
-0.987383, -9.509669, 0.000000, -0.000000, 0.000000, 0.982455, -0.186498
-0.970445, -9.521019, 0.000000, -0.000000, 0.000000, 0.980734, -0.195349
-0.999351, -9.517819, 0.000000, -0.000000, 0.000000, 0.984575, -0.174963
-1.001149, -9.519083, 0.000000, -0.000000, 0.000000, 0.983395, -0.181478
